key,resolution_time
313187,324
313190,1
313354,1
313381,1
313385,1
313388,1
313392,479
313413,1
313590,1
313922,5
314241,2
314246,3
314300,1722
314304,306
314595,78
314706,1
314814,249
315039,639
315095,1
315502,2384
316078,17
316345,837
317451,9
318496,5
318540,40
318624,1
318732,3
319531,22
319580,1
319790,203
319965,36
320173,8
320428,288
320583,3
320763,17
320869,1
320933,1
320946,1
320981,192
321624,5
321870,110
321891,4
321904,2359
322352,1097
322637,1
322893,1
322975,2294
323287,1
323774,5
323827,11
323910,3
324037,1
324336,1
324344,193
324637,9
324773,1504
324895,6
325273,1
325495,46
326084,1
326263,74
326472,2
326561,1
327218,1
327371,628
328467,1103
328636,7
328686,29
328711,1
328724,1
328742,1
328743,6
328809,35
328849,5
328929,8
328977,137
329332,1
329915,8
330278,240
330464,1
330685,5
330943,1
331068,7
331332,36
331458,1
331485,170
331670,4
331992,87
332047,48
332112,1978
332335,2
334008,13
334034,10
334086,1
334241,19
334399,18
335353,8
335950,2
335956,55
336080,91
336106,2154
336823,1
337444,14
337730,86
337909,1
338133,1
338182,41
338408,4
338879,13
339853,1
339857,18
340203,1
340640,48
340776,1
340906,12
341399,2
341980,1
342193,12
342512,27
342540,27
342868,105
342907,1
344545,8
344554,6
344720,350
344731,3
345045,107
346216,1
346336,281
346593,319
347476,115
347695,153
348035,70
348077,1
348099,332
349540,18
350461,1322
350756,41
350772,43
350949,20
350951,20
351356,2018
351417,225
351525,73
351526,73
351830,30
352196,19
352232,3
352274,2
352436,62
352806,27
352808,105
353344,64
353442,40
353484,60
353770,35
353814,15
353815,15
354549,7
354557,7
354895,412
354936,219
354993,517
355847,277
355890,131
356001,2
357452,1
357940,11
358274,1
359314,15
359544,34
359701,1
360044,47
360126,1
360719,21
360894,136
361123,1080
361413,1241
361989,6
362221,4
362398,123
362602,1
363733,421
363832,7
364068,5
365799,107
365914,6
366205,39
366354,1
367980,13
368753,16
368780,15
369099,13
369913,5
369916,19
369937,5
370100,2
370112,18
370396,1
370402,7
370536,96
371657,1
371944,1
372087,1
372726,1
372796,1
372803,1
373462,1
373662,1
373824,1
374096,31
374789,1
376057,154
376950,1402
377017,1
377231,1
377951,11
378112,23
378319,355
378850,49
378985,47
379135,162
379728,1
380444,36
380563,399
381556,1
381946,21
381975,181
382706,26
382995,7
383001,7
383795,197
383802,301
384677,1
385100,193
385240,1
386229,56
386866,6
387232,24
387251,26
387565,1656
387961,1
388157,34
389192,3
389193,3
389196,13
390193,1
390465,1
391305,44
391801,6
391828,1
391982,1
391984,1
392597,1
392950,1
393317,25
393797,1
393924,1
394260,1
394362,1
394518,1559
395061,9
395597,1
395632,1
395795,34
395933,1
396088,2
396089,2
396394,21
396429,35
396438,1
397586,1
397875,1
398149,1
398155,1
398308,4
398994,745
399445,1
400129,1
400141,1
400206,1
400616,1
400712,13
400893,5
401104,4
401435,7
401983,1
402005,1
402400,1
402583,5
402688,1
403121,9
403149,63
403512,6
403962,6
404070,1
404512,13
404909,1
405081,4
405509,26
405516,26
405539,1097
405578,1
405891,1
406014,1
406232,1
407331,1
407338,1
407391,51
407435,1
407755,4
407765,97
407861,37
407982,36
408358,1
408613,84
408727,841
409178,23
409528,20
409907,22
409969,112
410858,53
410983,1
411162,6
411965,2
412795,1
412851,54
413450,9
413935,1
413944,1
413986,13
414020,1
414164,1
414172,1
414242,1
414255,53
